Year,Registration,VAP Turnout,Voting age population,Compulsory Voting,Election Type,Voter Turnout
1963,4869928.0,0.9270999999999999,5020400.0,1,Presidential,0.9558
1957,4630997.0,0.9057,4967870.0,1,Presidential,0.9716
1951,4513597.0,0.8876999999999999,4926690.0,1,Presidential,0.9689
1951,4513597.0,0.8870999999999999,4926690.0,1,Presidential,0.9682999999999999
2024,6372204.0,0.4808,7454728.0,0,EU Parliament,0.5625
2019,6416177.0,0.5107,7508169.0,0,EU Parliament,0.5977
2014,6410602.0,0.39770000000000005,7315273.0,0,EU Parliament,0.4539
2009,6362761.0,0.4132,7078928.0,0,EU Parliament,0.4597
2004,6049129.0,0.3995,6424824.0,0,EU Parliament,0.4243
1999,5847605.0,0.4611,6215766.0,0,EU Parliament,0.4901
1996,5800377.0,0.6364,6172678.0,0,EU Parliament,0.6773
2024,6478840.0,0.6352,7804818.0,0,Parliamentary,0.7643000000000001
2020,5359015.0,0.3358,7475615.0,0,Parliamentary,0.46840000000000004
2015,5211765.0,0.4048,7150506.0,0,Parliamentary,0.5554
2010,4841631.0,0.46549999999999997,5175155.0,0,Parliamentary,0.4976
2005,4675572.0,0.3667,5159945.0,0,Parliamentary,0.4047
2000,4241550.0,0.6123,4709852.0,0,Parliamentary,0.6799
1995,4132800.0,0.8251000000000001,4310340.0,0,Parliamentary,0.8604999999999999
2024,6478840.0,0.6365,7804818.0,0,Presidential,0.7668
2018,5332817.0,0.5376,7363739.0,0,Presidential,0.7424
2013,5214787.0,0.5856,6378974.0,0,Presidential,0.7162999999999999
2008,4927561.0,0.6803,5439906.0,0,Presidential,0.7509999999999999
2003,4442338.0,0.634,4990760.0,0,Presidential,0.7123
1998,4255717.0,0.7198,4667748.0,0,Presidential,0.7894
1993,4620000.0,0.9414,4213440.0,0,Presidential,0.8584999999999999
2021,194494.0,0.48460000000000003,260886.0,0,Parliamentary,0.65
2017,184000.0,0.6653,240360.0,0,Parliamentary,0.8691
2012,171932.0,0.6731,231903.0,0,Parliamentary,0.9078
2007,150654.0,0.6919,200603.0,0,Parliamentary,0.9213
2002,144758.0,0.6969,187011.0,0,Parliamentary,0.9003
1997,129946.0,0.6792,175463.0,0,Parliamentary,0.9170999999999999
1992,122000.0,0.6846,163680.0,0,Parliamentary,0.9185
1987,102713.0,0.6349,142190.0,0,Parliamentary,0.879
1982,84235.0,0.6423000000000001,117720.0,0,Parliamentary,0.8976000000000001
1977,71295.0,0.614,104410.0,0,Parliamentary,0.8992
1972,50071.0,0.547,91800.0,0,Parliamentary,1.0029000000000001
2022,344713.0,0.217,1159588.0,0,Parliamentary,0.73
2018,365467.0,0.2218,1070950.0,0,Parliamentary,0.67
2014,349713.0,0.1845,997149.0,0,Parliamentary,0.526
2010,171000.0,0.1348,850180.0,0,Parliamentary,0.67
2006,295686.0,0.3722,584710.0,0,Parliamentary,0.736
2002,650000.0,0.7448,462535.0,0,Parliamentary,0.53
1973,24883.0,0.3262,59800.0,0,Parliamentary,0.784
2024,121775450.0,0.4242,117933131.0,0,Parliamentary,0.418
2018,104190480.0,0.7806000000000001,106777785.0,0,Parliamentary,0.8
2014,92007113.0,0.4854,97373463.0,0,Parliamentary,0.5136999999999999
2008,81130973.0,0.7893000000000001,87634867.0,0,Parliamentary,0.8526
2001,74946364.0,0.765,73445528.0,0,Parliamentary,0.7497
1996,56716935.0,0.6456999999999999,66408120.0,0,Parliamentary,0.7559999999999999
1991,62181743.0,0.6152000000000001,56038800.0,0,Parliamentary,0.5545
1988,49863829.0,0.48460000000000003,53311320.0,0,Parliamentary,0.5181
1986,47876979.0,0.5916,48803040.0,0,Parliamentary,0.6031
1979,38363858.0,0.4731,41588640.0,0,Parliamentary,0.5129
1973,35205642.0,0.5501,35140800.0,0,Parliamentary,0.5490999999999999
1986,47912443.0,0.531,48803040.0,0,Presidential,0.5409
1981,38951014.0,0.4993,43419360.0,0,Presidential,0.5565
2022,266330.0,0.462,240556.0,0,Parliamentary,0.41729999999999995
2018,255833.0,0.6706,230005.0,0,Parliamentary,0.6029
2013,235510.0,0.6978,219561.0,0,Parliamentary,0.6505
2008,235510.0,0.6940999999999999,215586.0,0,Parliamentary,0.6354
2003,218811.0,0.6812999999999999,182672.0,0,Parliamentary,0.5688
1999,203621.0,0.6864,187188.0,0,Parliamentary,0.631
1994,206000.0,0.6605,187920.0,0,Parliamentary,0.6025
1991,191000.0,0.6738,180600.0,0,Parliamentary,0.6372
1986,176739.0,0.7997,169510.0,0,Parliamentary,0.767
1981,167029.0,0.7473000000000001,160000.0,0,Parliamentary,0.7158
1976,134241.0,0.6628000000000001,150060.0,0,Parliamentary,0.7409
1971,115189.0,0.6995,134400.0,0,Parliamentary,0.8162
1966,99988.0,0.5764,137500.0,0,Parliamentary,0.7927
1961,104518.0,0.4986,128541.0,0,Parliamentary,0.6132
